-,楽曲名,MS披露期待ポイント,Day1,Day2,キャスト
1,...In The Name Of。 ...LOVE?,7.0,○,○,阿部里果
2,ABSOLUTE RUN!!!,2.0,×,○,山崎はるか、田所あずさ、Machico
3,Angelic Parade♪,4.0,△,○,Machico、角元明日香、麻倉もも、小笠原早紀、夏川椎菜、田村奈央、髙橋ミナミ、稲川英里、末柄里恵、桐谷蝶々、近藤唯、平山笑美、香里有佐
4,Arrive You 〜それが運命でも〜,2.0,○,○,原嶋あかり、稲川英里、渡部恵子
5,Bigバルーン◎,4.875,×,○,小笠原早紀、髙橋ミナミ、斉藤佑圭
6,Birth of Color,3.0,×,○,戸田めぐみ、木戸衣吹
7,Blue Symphony,3.75,×,○,種田梨沙、藤井ゆきよ、雨宮天
8,Bonnes! Bonnes!! Vacances!!!,6.0,○,○,Machico、大関英里、浜崎奈々
9,BORN ON DREAM! 〜HANABI☆NIGHT〜,4.0,×,○,大関英里、駒形友梨、上田麗奈、渡部優衣、浜崎奈々
10,brave HARMONY,3.0,△,○,田所あずさ、藤井ゆきよ、伊藤美来、駒形友梨、小岩井ことり、戸田めぐみ、野村香菜子、阿部里果、近藤唯、斉藤佑圭、平山笑美、愛美、南早紀
11,catch my feeling,5.0,×,○,中村温姫、村川梨衣、渡部優衣、野村香菜子、髙橋ミナミ、渡部恵子
12,CHEER UP! HEARTS UP!,6.0,○,○,夏川椎菜、木戸衣吹、愛美
13,Cherry Colored Love,2.0,×,○,髙橋ミナミ、山口立花子
14,Clover Days,10.0,×,○,麻倉もも、上田麗奈、雨宮天、木戸衣吹
15,Clover's Cry 〜神と神降ろしの少女〜,6.4,×,○,田村奈央、渡部優衣、髙橋ミナミ、稲川英里
16,Come on a Tea Party!,5.0,○,○,麻倉もも
17,Contrastet,1.0,○,○,香里有佐
18,Criminally Dinner 〜正餐とイーヴルナイフ〜,6.4,×,○,田所あずさ、原嶋あかり、戸田めぐみ、近藤唯
19,Cut. Cut. Cut.,7.0,○,○,阿部里果、渡部恵子
20,Dance in the Light,8.0,×,○,駒形友梨、戸田めぐみ、山口立花子、斉藤佑圭
21,dans l'obscurité,6.0,○,○,夏川椎菜、中村温姫、伊藤美来、阿部里果、斉藤佑圭
22,dear...,6.0,×,○,髙橋ミナミ
