Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,144,3.0,3.1111111111111107,3.1111111111111107,3.1111111111111107,アニマル☆ステイション！,原嶋あかり
1,2,135,3.75,4.027777777777778,7.138888888888888,7.138888888888888,Sentimental Venus,郁原ゆう、阿部里果、山口立花子
1,3,123,4.0,4.444444444444445,11.583333333333332,11.583333333333332,プリティ〜〜〜ッ→ニャンニャンッ！,小笠原早紀
1,4,117,4.0,4.592592592592593,16.175925925925924,16.175925925925924,スタートリップ,愛美
1,5,70,5.0,5.925925925925926,22.101851851851848,22.101851851851848,ENTER→PLEASURE,夏川椎菜
1,6,80,5.0,6.111111111111112,28.21296296296296,28.21296296296296,電波感傷,南早紀、香里有佐
1,7,72,5.0,6.296296296296297,34.50925925925925,34.50925925925925,P.S I Love You,小岩井ことり、野村香菜子、近藤唯
1,8,71,5.0,6.481481481481481,40.99074074074073,40.99074074074073,Home is a coming now!,渡部優衣
1,9,46,6.0,8.0,48.99074074074073,48.99074074074073,vivid color,駒形友梨
1,10,39,6.0,8.222222222222221,57.212962962962955,57.212962962962955,CHEER UP! HEARTS UP!,夏川椎菜、木戸衣吹、愛美
1,11,31,6.666666666666667,9.382716049382717,66.59567901234567,66.59567901234567,聖ミリオン女学園校歌,近藤唯、斉藤佑圭
1,12,45,6.0,8.666666666666666,75.26234567901234,75.26234567901234,Starry Melody,山崎はるか、麻倉もも、小笠原早紀、雨宮天、稲川英里、末柄里恵、桐谷蝶々、渡部恵子
1,13,38,6.0,8.88888888888889,84.15123456790123,84.15123456790123,Bonnes! Bonnes!! Vacances!!!,Machico、大関英里、浜崎奈々
1,14,29,7.0,10.62962962962963,94.78086419753086,94.78086419753086,空想文学少女,伊藤美来
1,15,51,6.0,9.333333333333334,104.11419753086419,104.11419753086419,ゲキテキ！ムテキ！恋したい！,角元明日香、中村温姫、原嶋あかり
1,16,25,7.0,11.148148148148149,115.26234567901234,115.26234567901234,piece of cake,雨宮天、平山笑美
1,17,28,7.0,11.407407407407408,126.66975308641975,126.66975308641975,ビギナーズ☆ストライク,斉藤佑圭
1,18,47,6.0,10.0,136.66975308641975,136.66975308641975,WHY?,山口立花子
1,19,21,7.6923076923076925,13.105413105413106,149.77516619183285,149.77516619183285,サウンド・オブ・ビギニング,Machico、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
1,20,30,6.923076923076923,12.051282051282051,161.8264482431149,161.8264482431149,Supersonic Booster!,角元明日香、夏川椎菜、伊藤美来、田村奈央、阿部里果、平山笑美、愛美
1,21,20,7.6923076923076925,13.675213675213675,175.50166191832858,175.50166191832858,オレンジ・エピソード,大関英里、駒形友梨、小岩井ことり、雨宮天、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
1,22,11,8.333333333333334,15.12345679012346,190.62511870845205,190.62511870845205,Like twinkling STARS,山崎はるか、藤井ゆきよ、小笠原早紀、原嶋あかり、郁原ゆう、末柄里恵、近藤唯、山口立花子、香里有佐
1,23,75,5.0,9.25925925925926,199.88437796771132,199.88437796771132,たんけんぼうけん☆ハイホー隊,稲川英里
1,24,22,7.0,13.222222222222221,213.10660018993354,213.10660018993354,...In The Name Of。 ...LOVE?,阿部里果
1,25,26,7.0,13.481481481481483,226.58808167141504,226.58808167141504,あのね、聞いてほしいことがあるんだ,田村奈央
1,26,16,8.0,15.703703703703702,242.29178537511874,242.29178537511874,ミスティック・セレモニーへの招待状,Machico、小岩井ことり、木戸衣吹、平山笑美
1,27,13,8.25,16.5,258.7917853751187,258.7917853751187,花びらメモリーズ,大関英里、藤井ゆきよ、渡部恵子、南早紀
2,1,160,2.0,2.074074074074074,2.074074074074074,260.8658594491928,Hang In There!,大関英里、渡部優衣
2,2,114,4.0,4.296296296296296,6.37037037037037,265.1621557454891,White Vows,野村香菜子、髙橋ミナミ、末柄里恵、山口立花子、香里有佐
2,3,131,4.0,4.444444444444445,10.814814814814815,269.60660018993354,餞の鳥,田所あずさ、愛美
2,4,130,4.0,4.592592592592593,15.407407407407408,274.19919278252615,教えてlast note…,近藤唯
2,5,56,6.0,7.111111111111111,22.51851851851852,281.31030389363724,メメント？モメント♪ルルルルル☆,山崎はるか、諏訪彩花、桐谷蝶々
2,6,147,3.0,3.666666666666667,26.185185185185187,284.9769705603039,サンリズム・オーケストラ♪,Machico、角元明日香、大関英里、夏川椎菜、中村温姫、原嶋あかり、郁原ゆう、田村奈央、木戸衣吹、渡部優衣、浜崎奈々、山口立花子、香里有佐
2,7,85,4.8,6.044444444444444,32.22962962962963,291.02141500474835,星屑のシンフォニア,駒形友梨、小岩井ことり、野村香菜子、斉藤佑圭
2,8,43,6.0,7.777777777777778,40.007407407407406,298.7991927825261,Precious Grain,田所あずさ
2,9,27,7.0,9.333333333333332,49.34074074074074,308.13252611585943,エスケープ,藤井ゆきよ、愛美
2,10,44,6.0,8.222222222222221,57.56296296296296,316.35474833808166,Special Wonderful Smile,麻倉もも、田村奈央、桐谷蝶々、近藤唯
2,11,63,6.0,8.444444444444445,66.00740740740741,324.7991927825261,矛盾の月,小岩井ことり、郁原ゆう、南早紀
2,12,12,8.25,11.916666666666666,77.92407407407408,336.7158594491928,クルリウタ,角元明日香、小笠原早紀、雨宮天、野村香菜子、香里有佐
2,13,37,6.4,9.481481481481481,87.40555555555557,346.1973409306743,紙・心・ペン・心 - SHISHINPENSHIN -,駒形友梨、村川梨衣、浜崎奈々、平山笑美
2,14,18,8.0,12.148148148148149,99.55370370370372,358.3454890788224,夢みがちBride,上田麗奈、渡部優衣、桐谷蝶々、阿部里果
2,15,3,10.0,15.555555555555555,115.10925925925928,373.90104463437797,Sing a Wing Song,種田梨沙
2,16,5,10.0,15.925925925925926,131.0351851851852,389.8269705603039,わたしは花、あなたは太陽,伊藤美来、髙橋ミナミ、渡部恵子
2,17,52,6.0,9.777777777777779,140.81296296296298,399.60474833808166,ショコラブル＊イブ,山崎はるか、藤井ゆきよ、小笠原早紀、夏川椎菜、駒形友梨
2,18,65,6.0,10.0,150.81296296296298,409.60474833808166,（※「悪役？令嬢」楽曲）,田所あずさ、村川梨衣、木戸衣吹
2,19,62,6.0,10.222222222222221,161.0351851851852,419.8269705603039,産声とクラブ,麻倉もも、中村温姫、上田麗奈
2,20,19,8.0,13.925925925925926,174.96111111111114,433.7528964862298,解夏傀儡,原嶋あかり、髙橋ミナミ、阿部里果、渡部恵子
2,21,8,10.0,17.77777777777778,192.7388888888889,451.5306742640076,オレンジノキオク,種田梨沙、藤井ゆきよ、伊藤美来、稲川英里、末柄里恵
2,22,4,10.0,18.14814814814815,210.88703703703706,469.67882241215574,Unknown Boxの開き方,角元明日香、諏訪彩花、郁原ゆう、田村奈央、斉藤佑圭
